question,answer
Qual é o nome comum para o Suriname Horned Frog,Sapo Horned Amazônica
Quantas espécies de insetos existem na floresta amazônica,"2,5 milhões"
O rio Uatumã é em que país sul-americano,Brasil
Os holandeses controlavam o litoral do Rio Grande do Norte ao que,Cabo de Santo Agostinho de Pernambuco
Qual país ganhou liberdade de navegação no rio paraguaio,Brasil
quem era o embaixador brasileiro para a Bolívia durante o boom da borracha amazônica,Joaquim Francisco de Assis Brasil
Na-Me-toque é uma cidade em que rio,Rio Grande do Sul
Quantas espécies de insetos existem na floresta amazônica,"2,5 milhões"
Quais dois países compartilham uma fronteira com a floresta amazônica,Venezuela
o que aconteceu com a biodiversidade da floresta amazônica desde 2004,declinado
onde a lança da floresta amazônica ocorreu,Brasil
Qual é a próxima temporada de MasterChef no Brasil,A quarta temporada
Que floresta cobre toda a cidade de Ilhabela,Mata Atlântica
Qual é a maior empresa de energia do Brasil?,Petrobras
Qual é o lado B da rebelião do fogo das arcadas,Brasil
que gênero é a sociedade amazônica no carnaval,lésbica
Quem declarou as ilhas de São Pedro e Saint Paul como território federal,Fernando de Noronha
Onde estão os Restingas da Costa do Atlântico?,Nordeste para o sudeste do Brasil
O Suruí é um povo indígena de qual país,Brasil
Quantos répteis estão na floresta amazônica,378.
Que rio forma a fronteira entre a Argentina e o Brasil,Rio Uruguai
Quando é o objetivo de reduzir as emissões de gases de efeito estufa no Brasil,2020.
Qual é a razão para a queda no investimento em pesquisa no Brasil,Desaceleração econômica
Qual é o nome da organização que trabalha para conservar a floresta amazônica,Equipe de conservação da Amazon
Qual é o clima de Alto Parana Atlantic,subtropical
De onde veio o termo indianos amazônicos brancos?,Missionários espanhóis
Quando a chuva cai no Brasil no verão,entre dezembro e abril
Quantos jogos de fase de grupos fez o Brasil brincar na arena pantanal,Quatro.
A Serra do Mar Corredor Ecológico é executada através da qual floresta,Mata Atlântica
Quantos vales compõem a região da Amazonas,Quatro.
Qual é a forma completa de corpo marítimo brasileiro,Marinha brasileira
Qual é a natureza do ambiente do Brasil?,alta biodiversidade
Quando o manatee amazônico saiu do Equador?,1986.
Qual país da América do Sul já foi governado pelo Corpo de Bombeiros Estaduais,Brasil
A guerra de Ragamuffin ocorreu em qual rio,Rio Grande do Sul
Qual porcentagem da área superficial do Brasil é a Caatinga,10%
qual ilha brasileira é um dos restos mais intocados do Brasil em,Ilha Grande.
Qual nacionalidade é o botânico que descreveu os cerados brasileiros como,dinamarquês
Qual país tem um abrigo na ilha de elefante,Brasil
O contador de histórias é definido na tribo amazônica em melhor forma para o que,Civilização moderna
Qual é o nome do evento geológico que moldou a geologia do Uruguai,Orogenia transamazoniana
que cor é o umbrellabird amazônica masculino,Preto
onde foi a primeira cúpula integrada de gestão da zona costeira realizada,Rio de Janeiro
O Akuntsu são indígenas em que país,Brasil
Onde o HMS Ocean será desativado em 2018,Rio de Janeiro
Qual é a principal causa da estrutura da população da caatinga,Agricultura intensiva
Quando os Andes amazônicos se tornaram estéridos?,século 21
Quem gerencia o Parque Nacional Serra Geral no Rio Grande do Sul,Chico Mendes Institute for Biodiversity Conservation
Que tipo de floresta é usada no delta delta parana,Floresta de salgueiro
Quantas espécies de insetos estão no Brasil,mais de 70.000.
Que raça de cachorro foi ensinada a perseguir jaguares,Fila Brasileiro
Quem é o Bororo e o que eles são,povos indígenas do Brasil
Desert Rose é o tema sintonia para o qual sabão brasileiro,O clone
Onde o Lion Tamarin vive no Brasil?,Florestas costeiras.
Copacabana Beach está localizada em que cidade do Brasil,Rio de Janeiro
Angiopolybia Pallens é encontrado em florestas tropicais em que país,Brasil
Quem é dono do centro de treinamento de futebol na Granja Comary,A Confederação Brasileira de Futebol
Por que as corujas se espalham na floresta amazônica,desmatamento
Em que estado sul-americano é a floresta nacional de Carajás,Pára.Brasil
onde está o maytenus kukovii encontrado no mundo,a floresta amazônica
Quem gerencia a reserva biológica do Saltino no Brasil,Chico Mendes Institute for Biodiversity Conservation
que eram brasileiros dependentes por sua sobrevivência,trabalho indígena
Quantos estados existem na região amazônica?,nove
Onde está a direção do vento na Bahia Salinas,lado na praia
A Fundação da Política Ambiental no Brasil é,conhecimento científico
Qual é a área de proteção ambiental da Serra do Mar,Reserva da Biosfera da Mata Atlântica
De onde vive os sapatos de seda no Brasil?,Mata Atlântica do Norte
Quando o flutuador da Carley foi encontrado da costa do Brasil,5 de abril de 1943.
Qual porcentagem da coleção do Museu Nacional do Brasil é destruída pelo fogo,"92,5%"
O que o Batman usou para matar Barry Flash?,uma espada amazônica
Quando a cerâmica apareceu pela primeira vez na Amazônia?,em torno de 1000 CE.
Onde o rio Amazonas termina no Brasil?,oceano Atlântico
O território indígena Yanomami é em que país,Brasil
onde estão as florestas úmidas de ucayali localizadas no Peru,Floresta Amazônia Ocidental
Quais estatutos o Banco Brasileiro de Desenvolvimento opera com,princípios éticos e ambientais
Quando foi a primeira vez que um monstro do mar foi visto no Brasil,1977.
Quanto da floresta amazônica é o Brasil para casa para,60%
Onde a região da Amazonas ganhou sua independência de,Espanha
Quantos trechos de quilômetros de rios faz a Merganser brasileiro,oito a dezessete anos
Qual foi o nome do tratado que estabeleceu o litoral do Brasil,Tratado de Madri
Que tipo de roedor é cerradomys,oryzomyine.
onde moram a araras redbellied na América do Sul,América do Sul da Amazônia tropical
Quem foi o missionário espanhol que alegou ter conhecido amazônicas brancas,GASPAR DE CARVAJAL.
Quando o Brasil abriu seu campo de treinamento de futebol?,1987.
Quanto dinheiro o Brasil tem no bem-estar animal,"US $ 2,65 bilhões"
Qual oceano o rio Paraná flui no Brasil,oceano Atlântico
onde o furacão Alex causou inundando em Monterrey,Rio de Santa Catarina
Que bebida você bebe em rituais religiosos amazônicos?,Daime.
Quantos acres estão no bioma da Amazônia no Brasil,620.
"Os caetes eram um grupo de pessoas indígenas que povoam a costa do Brasil,",Pessoas Tupi.
quem protestou com o tiroteio das ilhas de Alcatrazes,Paz verde
Quando o Brasil se tornou o primeiro país a visitar a Ucrânia,Janeiro de 2002.
A Fundação de Políticas Ambientais no Brasil é,conhecimento científico
Qual é o nome da baía em que Puerto Barrios está localizado?,Bahia de Amatique
quem é responsável por coordenar organizações indígenas na Amazônia brasileira,COIAB.
A pluviosidade mínima para etanol para ser usada no Brasil,600 mm.
Onde o Rio de Janeiro está na poluição do ar no Brasil,12º
Que oceano está no sul do Rio de Janeiro,oceano Atlântico
Qual foi a principal fonte de renda para a Amazonas?,borracha
Os mehinaku são um povo indígena do qual país sul-americano,Brasil
Cumbuco está localizado na costa nordeste de qual país,Brasil
Quem Jay Silva trem no Brasil,Renzo Gracie
Em que cidade foi a Convenção-Quadro das Nações Unidas sobre a mudança climática assinada,Rio de Janeiro
Quando a primeira visão de índios amazônicos brancos ocorrem,Século XVI.
Onde o Rio de Janeiro na poluição no Brasil,12º
Onde é a melhor praia de Salvador Bahia,Praia do Porto da Barra
O movimento pop art do Amazonian em Los Angeles foi influenciado pelo que a Estação de TV,MTV.
Os Yawalapiti são uma tribo indígena em que país,Brasil
que estava envolvido na revolta da praia brasileira de 1848,O Partido Liberal de Pernambuco
Qual rio é um afluente do Paraná,o rio Uruguai
em qual oceano é o Rio de Janeiro localizado,oceano Atlântico
O Uruguai apoiou a oferta brasileira para um assento permanente em que organização,Conselho de Segurança das Nações Unidas
Qual é o nome do sistema de savana que cobre muito do Brasil,Cerrado
Parma Tapirapecó National Park é em que estado sul-americano,Amazonas.
Qual rio flui pelo estado de Amazonas,Rio Negro
Qual foi o nome do cruzador brasileiro afundado pelo submarino alemão U,Bahia.
"Quando foi o projeto final do Parque Nacional da Amazônia de Guiana, apresentou",início de 2006.
"De acordo com Homer, onde estavam os amazônicos",Lycia.
"onde é a Comissão Nacional de Energia Nuclear,",Rio de Janeiro
Quem joga Eddie em Las Amazonas Telenovelas,René Casados.
Quando os corais de fogo ficam em perigo no Brasil,tempestades
Onde os blocos tampados castanhas vivem na América do Sul,Brasil
Quem hospeda a próxima temporada do modelo do Brasil,Fernanda Motta.
território indígena no noroeste do estado do Amazonas,O território indígena Balaio
Quando começa a estação chuvosa em Fernando de Noronha,Fevereiro a julho
Quanto o Brasil pagou a Bolívia para obter a Bacia Amazônica?,dois milhões de libras esterlinas
Qual é o clima do Brasil quando se trata dos jogos de verão,tropical
Qual é o nome não oficial dado por jornalistas ocidentais a uma cadreira de elite,A guarda amazônica
Quantas classificações da floresta Amazônica existem,Quatro.
O que é usado para tratar o reumatismo em amazônios,picadas de incêndio
Maresias Beach é em que país sul-americano,Brasil
Qual é o quinto maior grupo étnico do Brasil?,Povo indígena
Quantas espécies ameaçadas estão no Brasil agora,97.
Há quanto tempo a linguagem amazônica foi preenchida,Menos de 12.000 anos
Qual é a maior praia do Rio Grande do Norte,Carnatal.
Quantas tribos indígenas foram perdidas no Brasil entre 1900 e 1957,Mais de oitenta e oitenta anos
Quem Thomas Almeida trem para no Brasil,Legado fc.
Quem descobriu Bahia Adair Bay na Califórnia,Robert William Hale Hardy
O rio Tocantins é executado pelo qual oceano,oceano Atlântico
Quando a música Aguas da Amazônia escreveu,1993/1999.
Mauritia Flexuosa é uma característica comum de qual vegetação,cerrado
Quando Lisa Riedt começou beira-mar brasileira,2003.
Quando o rio Antimari começou no Brasil?,1997.
O campo de óleo de Roncador está fora da costa de qual país,Brasil
Quantos competidores estão na próxima temporada do modelo do Brasil 3,13.
O campo de óleo Lula está fora da costa de que cidade,"Rio de Janeiro, Brasil"
o mawé são um povo indígena do qual país sul-americano,Brasil
Qual é o limite inferior do North Brazil Atual,o fundo do mar
Por que o trem descarrilou no Brasil?,Velocidade excessiva
O parque estadual prosa protege qual tipo de vegetação,cerrado
Qual é o significado dos cigs no Brasil?,Centro de Treinamento da Warfare da selva
As ilhas de Trindade e Martim Vaz fazem parte do qual a América do Sul,Brasil
Quantos caimans vive no mar de Pantanal,10 milhões
Qual é a carreira de Dario em Las Amazonas,jóquei
Onde estão as Ilhas Virgens Britânicas vão nas Olimpíadas de 2016,Rio de Janeiro
Quantas espécies de corais estão presentes na Bahia,17.
Qual é o nome do livro no qual Bates descreveu sua experiência no Brasil?,O naturalista no rio Amazonas
Qual é o valor da floresta amazônica para gado,US $ 148.
Quantas espécies de morcegos estão lá no Mato Grosso,52.
Qual é o limite inferior da corrente no Brasil,o fundo do mar
Quando foi a FLORENCIA EN Amazonas pela primeira vez,26 de outubro de 1996.
Quem criou os guerreiros das mulheres amazônicas na mulher maravilha,Zeus
Qual é o nome do esfoliante cheio de espinhos em Sertão,caatinga.
O que os povos indígenas brasileiros gerenciam para suas necessidades?,as florestas
Quando a temporada 1 do próximo modelo do Brasil começou,3 de outubro de 2007.
De onde começa o rio Sincura e termina,Highlands de Chapada Diamantina.
Onde o Trogon da Amazônia vive na América do Sul?,Florestas úmidas
Quando foi o novo nome de Guiana Amazonian Park,6 de março de 2006
O que os Amazonas usam IGAPO para,cultivo
Qual é o nome da videira amazônica que é usada para fazer ayahu,Banisteriopsis Caapi.
Quanto da soja brasileira é cultivada no cerrado,46%
Qual país português tem as maiores taxas de capitão do mar e da guerra,Brasil
Em que cidade são as praias do Brasil,Rio de Janeiro
O wari são um povo indígena de qual país,Brasil
O Suriname Horned Sapo é mais conhecido pelo nome,Sapo Horned Amazônica
Qual país abriu o rio Amazonas para todos os países,Brasil
Onde está aspásia comum na região amazônica?,Bolívia
Quando a Amazonas ganhou a independência da Espanha?,1821.
Quando Luiz Franca começou a treinar judô no Brasil?,1916.
O macaco Callithrix é nativo para o qual país sul-americano,Brasil
O que FH impô em 2001 para lidar com a crise energética no Brasil,Racionamento de energia
Quem corre o zoológico em Manaus,o exército brasileiro
Quando o tambor marinho brasileiro e o Corps Bugle primeiro apareceram no filme?,1956.
Mais de 80 espécies de aves foram registradas no Tocantins-Arages,morcegos
onde é onde o rio corre preto filmado,Brasil
Que área no sul da Venezuela recebe mais chuvas,a selva amazônica
Qual foi o corpo marinho brasileiro chamado antes de se tornar o marinho brasileiro,Corpo de Marítimos Portugueses.
Qual rio se junta ao rio Araguaia no Brasil,Tocantins.
Quando foi a Aguas da Amazônia escrita,1993/1999.
Em que país é a floresta atlântica,Brasil
quanto é a bahia esmeralda no ebay,US $ 75 milhões
O rio Doce em Minas Gerais é o lar do maior complexo de produção,aço
Quem é responsável pela formação e operações em forças armadas brasileiras,Equipe geral do exército
Qual é a relação entre a floresta amazônica e o cerrado,riqueza de alta espécie
Qual marco no Rio de Janeiro foi o local do acidente de avião em,Montanha de Sugarloaf.
